id,sku,picture no.,images,name,width,attribute 1 name,attribute 1 value(s),attribute 1 visible,attribute 1 global,attribute 2 name,attribute 2 value(s),attribute 2 visible,attribute 2 global,categories
1,AB ,01,AB-15mm-scaled.jpg,Ladies Belt - AB ,15 MM,Color,Dark Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
2,AB ,02,AB-25mm-scaled.jpg,Ladies Belt - AB ,25 MM,Color,Dark Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
3,ADRISHA CHEETA,03,ADRISA-CHEETA-38mm-scaled.jpg,Ladies Belt - ADRISHA CHEETA,38 MM,Color,Cheetah,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
4,ADRISA ZEBRA ,04,ADRISA-ZEBRA-38mm-scaled.jpg,Ladies Belt - ADRISA ZEBRA ,38 MM,Color,Zebra,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
5,AFAF CHEETA ,05,AFAF-CHEETA-38mm-scaled.jpg,Ladies Belt - AFAF CHEETA ,38 MM,Color,Cheetah,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
6,ALAK,06,"ALAK-BLK-38mm-scaled.jpg,ALAK-BRWN-38mm-scaled.jpg",Ladies Belt - ALAK,38 MM,Color,Brown/Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
7,ALLIA ,07,"ALLIA-BRWN-38mm-scaled.jpg,ALLIA-GOLD-SNUFFED-38mm-scaled.jpg",Ladies Belt - ALLIA ,38 MM ,Color,Gold/Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
8,ANA CANE ,08,ANA-BLK-CANE-30mm-scaled.jpg,Ladies Belt - ANA CANE ,30 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
9,ANN CROCO ,09,"ANN-CROCO-BRN-35mm-scaled.jpg,ANN-CROCO-BLK-35mm-scaled.jpg",Ladies Belt - ANN CROCO ,35 MM ,Color,Black/Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
10,ANNE ,10,ANNE-GOLD-35mm-scaled.jpg,Ladies Belt - ANNE ,35 MM ,Color,Gold,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
11,ANNETTE ,11,ANNETTE-38mm-scaled.jpg,Ladies Belt - ANNETTE ,38 MM,Color,Dark Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
12,APRAJITA ,12,"APRAJITA-BROWN-38mm-scaled.jpg,APRAJITA-NAVY-38mm-scaled.jpg",Ladies Belt - APRAJITA ,38 MM ,Color,Navy/Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
13,APRAJITA ,13,APRAJITA-NEW-BRN-38mm-scaled.jpg,Ladies Belt - APRAJITA ,38 MM,Color,New Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
14,ARUNA ,14,ARUNA-BLK-35mm-scaled.jpg,Ladies Belt - ARUNA ,35 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
15,BHUMI ,15,"BHUMI-NEW-BRWN-40-mm-scaled.jpg,BHUMI-BLK40-mm-scaled.jpg,BHUMI-BRWN-40mm-scaled.jpg,BHUMI-RED-40mm-scaled.jpg",Ladies Belt - BHUMI ,40 MM ,Color,Black/Brown/Red/New Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
16,BRAIDING ,16,"BRAIDING-A-35mm-scaled.jpg,BRAIDING-B-35mm-scaled.jpg",Ladies Belt - BRAIDING ,35 MM ,Color,Brown/Brown&Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
17,DAY ,17,DAY-25mm-scaled.jpg,Ladies Belt - DAY ,25 MM ,Color,Beige,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
18,DEA ,18,DEA-30mm-scaled.jpg,Ladies Belt - DEA ,30 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
19,DEWAN,19,"DEWAN-GOLD-38mm-scaled.jpg,DEWAN-BLK-38mm-scaled.jpg",Ladies Belt - DEWAN,38 MM ,Color,Gold/Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
20,DT ,20,DT-30mm-scaled.jpg,Ladies Belt - DT ,40 MM ,Color,Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
21,FT,21,FT-40mm-scaled.jpg,Ladies Belt - FT,40 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
22,GR ,22,GR-25mm-scaled.jpg,Ladies Belt - GR ,25 MM ,Color,Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
23,GUL,23,"GUL_CREAM-40mm-scaled.jpg,GUL-BROWN-40mm-scaled.jpg",Ladies Belt - GUL,40 MM ,Color,Brown/Cream,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
24,HG,24,HG-40mm-scaled.jpg,Ladies Belt - HG,40 MM ,Color,Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
25,HT,25,HT-30mm-scaled.jpg,Ladies Belt - HT,30 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
26,JASMIN ,26,JASMIN-50mm-scaled.jpg,Ladies Belt - JASMIN ,50 MM ,Color,Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
27,JH,27,JH-40mm-scaled.jpg,Ladies Belt - JH,40 MM ,Color,Red,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
28,JT FLOWER RIVIT ,28,JT-20mm-scaled.jpg,Ladies Belt - JT FLOWER RIVIT ,20 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
29,JX FLOWER PRINT ,29,JX-38mm-scaled.jpg,Ladies Belt - JX FLOWER PRINT ,38 MM,Color,Navy,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
30,KJ,30,KJ-13mm-scaled.jpg,Ladies Belt - KJ,13 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
31,KP,31,KP-20mm-scaled.jpg,Ladies Belt - KP,20 MM ,Color,Teal,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
32,LINDA ,32,LINDA-35mm-scaled.jpg,Ladies Belt - LINDA ,35 MM ,Color,Beige,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
33,LIVA ,33,LIVA-25mm-scaled.jpg,Ladies Belt - LIVA ,25 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
34,MILLI ,34,"MILLE-PINK-25mm-scaled.jpg,MILLE-BLUE-25mm-scaled.jpg",Ladies Belt - MILLI ,25 MM ,Color,Blue/Pink,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
35,MILLI NEW RIVIT,35,MILLE-NEW-25mm-scaled.jpg,Ladies Belt - MILLI NEW RIVIT,25 MM,Color,Baby Pink,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
36,NADIA,36,"NADIA-BLK-30mm-scaled.jpeg,NADIA-BLU-30mm-scaled.jpeg,NADIA-RED-30mm-scaled.jpg,NADIA-GREY-30mm-scaled.jpeg",Ladies Belt - NADIA,30 MM,Color,Black/Blue/Grey/Red,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
37,NAGINA,37,NAGINA-50mm-scaled.jpg,Ladies Belt - NAGINA,50 MM ,Color,Light Gold,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
38,NEETI,38,NEETI-35mm-scaled.jpg,Ladies Belt - NEETI,35 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
39,OK,39,OK-18mm-scaled.jpg,Ladies Belt - OK,18 MM,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
40,SANDRA,40,SANDRA-40mm-scaled.jpg,Ladies Belt - SANDRA,40 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
41,SV,41,SV-40mm-scaled.jpg,Ladies Belt - SV,40 MM ,Color,Red,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
42,TIE & DYE,42,TIE&DYE--A-35mm-scaled.jpg,Ladies Belt - TIE & DYE,35 MM,Color,Multi,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
43,TIE & DYE,43,TIE&DYE--B-38mm-scaled.jpg,Ladies Belt - TIE & DYE,38 MM,Color,Multi,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
44,YX,44,YX-20mm-scaled.jpg,Ladies Belt - YX,20 MM ,Color,Pink ,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
45,ZO,45,ZO-20mm-scaled.jpg,Ladies Belt - ZO,20 MM ,Color,Beige,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
46,PE,46,PE-48mm-scaled.jpg,Ladies Belt - PE,48 MM,Color,Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
47,WX,47,WX-85mm-scaled.jpg,Ladies Belt - WX,85 MM,Color,Royal Blue,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
48,XO,48,XO-20mm-scaled.jpg,Ladies Belt - XO,20 MM,Color,White,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
